kernel,batch,seqlen,time_s,tflops,status
SDPA_math,1,512,0.001843,2.33,OK
FlashAttn2,1,512,0.000150,28.66,OK
SageAttn2,1,512,0.000271,15.88,OK
SDPA_math,1,1024,0.006970,2.46,OK
FlashAttn2,1,1024,0.000351,48.91,OK
SageAttn2,1,1024,0.000402,42.78,OK
SDPA_math,1,2048,0.028921,2.38,OK
FlashAttn2,1,2048,0.001205,57.02,OK
SageAttn2,1,2048,0.001017,67.60,OK
SDPA_math,1,4096,0.114345,2.40,OK
FlashAttn2,1,4096,0.004430,62.04,OK
SageAttn2,1,4096,0.003065,89.68,OK
SDPA_math,1,8192,,,OOM
FlashAttn2,1,8192,0.016958,64.84,OK
SageAttn2,1,8192,0.009975,110.23,OK
SDPA_math,8,512,0.015284,2.25,OK
FlashAttn2,8,512,0.000766,44.84,OK
SageAttn2,8,512,0.001254,27.40,OK
SDPA_math,8,1024,0.057186,2.40,OK
FlashAttn2,8,1024,0.002530,54.32,OK
SageAttn2,8,1024,0.003053,45.02,OK
SDPA_math,8,2048,2.589690,0.21,OK
FlashAttn2,8,2048,0.009121,60.27,OK
SageAttn2,8,2048,0.008351,65.83,OK
SDPA_math,8,4096,,,OOM
FlashAttn2,8,4096,0.034476,63.78,OK
SageAttn2,8,4096,0.024944,88.16,OK
SDPA_math,8,8192,,,OOM
FlashAttn2,8,8192,0.134029,65.63,OK
SageAttn2,8,8192,0.080253,109.60,OK
